,url,stars,material
82,https://shop.lululemon.com/p/women-tanks/Align-Sleeveless-Bodysuit/_/prod9960612,"['4', '4', '3', '0', '2']","['89% Nylon', '11% Elastane', '56% Polyester', '33% Coolmax® polyester', '11% Lycra® elastane', '81% Nylon', '19% Lycra® elastane']"
83,https://shop.lululemon.com/p/women-tanks/Swiftly-Breathe-Crop-Tank-US/_/prod10260060,"['8', '0', '1', '1', '0']","['64% Nylon', '33% Polyester', '3% X-static® nylon']"
84,https://shop.lululemon.com/p/women-tanks/Cut-Back-Crop-Tank/_/prod9270960,"['140', '34', '13', '6', '6']","['92% Pima cotton', '8% Lycra® elastane']"
85,https://shop.lululemon.com/p/tops-short-sleeve/Breeze-By-Short-Sleeve-Squad/_/prod8900622,"['101', '9', '6', '14', '7']","['66% Nylon', '31% Polyester', '3% X-static® nylon']"
86,https://shop.lululemon.com/p/tops-short-sleeve/Sunday-Sprint-SS/_/prod9750516,"['23', '3', '1', '6', '1']","['73% Nylon', '27% Xtra life lycra® elastane']"
87,https://shop.lululemon.com/p/women-tanks/Cut-Back-Crop-Tank-Wash/_/prod9750446,"['58', '19', '14', '9', '2']","['92% Pima cotton', '8% Lycra® elastane']"
88,https://shop.lululemon.com/p/mens-t-shirts/5-Year-Basic-Tee-Best/_/prod9930043,[],[]
89,https://shop.lululemon.com/p/women-tanks/Train-to-Be-Tank-Reg/_/prod9620013,"['114', '15', '13', '8', '7']","['68% Nylon', '32% Polyester']"
90,https://shop.lululemon.com/p/women-tanks/Free-To-Be-Tank-Everlux/_/prod9370138,"['60', '14', '12', '8', '9']","['89% Nylon', '11% Elastane', '56% Polyester', '33% Coolmax® polyester', '11% Lycra® elastane', '77% Nylon', '23% Lycra® elastane']"
91,https://shop.lululemon.com/p/women-tanks/Kitsilano-Mock-Tank/_/prod8351071,"['5', '2', '3', '0', '2']",[]
92,https://shop.lululemon.com/p/women-tanks/Swiftly-Breathe-Muscle-Tank/_/prod10240006,"['22', '4', '1', '1', '2']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']"
93,https://shop.lululemon.com/p/tops-short-sleeve/LA-All-Yours-Cut-Out-SS/_/prod10390018,"['0', '0', '0', '1', '1']","['92% Pima cotton', '8% Lycra® elastane']"
94,https://shop.lululemon.com/p/tops-long-sleeve/LA-Contour-Slim-Fit-LS/_/prod10390020,"['1', '0', '0', '0', '0']","['92% Pima cotton', '8% Lycra® elastane']"
95,https://shop.lululemon.com/p/tops-long-sleeve/LA-Tight-Fit-LS-Turtleneck/_/prod10390021,"['1', '0', '0', '0', '0']","['96% Modal', '4% Lycra® elastane']"
96,https://shop.lululemon.com/p/tops-long-sleeve/LA-Cut-Out-Waist-Crop-LS/_/prod10390022,"['2', '2', '0', '0', '0']","['96% Modal', '4% Lycra® elastane']"
97,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-SS-2-MD/_/prod9940024,"['308', '71', '36', '51', '46']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']"
98,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Tech-LS-Breeze-MD/_/prod9610122,"['307', '53', '30', '38', '25']","['53% Nylon', '41% Polyester', '3% Elastane', '3% X-static® nylon']"
99,https://shop.lululemon.com/p/women-tanks/Brunswick-Muscle-Tank-MD/_/prod8980112,"['399', '54', '35', '32', '31']","['92% Pima cotton', '8% Lycra® elastane']"
100,https://shop.lululemon.com/p/women-tanks/Essential-Tank-Pleated-MD/_/prod9491530,"['117', '44', '43', '53', '59']","['91% Polyester', '9% Lycra® elastane']"
101,https://shop.lululemon.com/p/women-tanks/Cool-Racerback-II-Nulu-MD/_/prod8840243,"['416', '82', '47', '52', '31']","['81% Nylon', '19% Lycra® elastane']"
102,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Tech-LS-Breeze-MD/_/prod9000058,"['307', '53', '30', '38', '25']","['69% Nylon', '29% Polyester', '2% X-static® nylon']"
103,https://shop.lululemon.com/p/tops-short-sleeve/Run-Swiftly-Tech-Short-Sleeve-Crew-M-D/_/prod10220052,"['113', '44', '43', '45', '44']","['58% Nylon', '38% Polyester', '4% X-static® nylon']"
104,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Tech-LS-2-MD/_/prod9940023,"['328', '109', '62', '75', '71']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']"
105,https://shop.lululemon.com/p/women-tanks/Cinch-Me-Up-Tank-MD/_/prod9280384,[],"['55% Viscose', '45% Polyester', '35% Polyester', '65% Viscose']"
106,https://shop.lululemon.com/p/tops-short-sleeve/Shift-in-Time-Short-Sleeve-MD/_/prod10390210,[],"['86% Polyester', '14% Elastane', '78% Nylon', '22% Lycra® elastane', '100% Polyester']"
107,https://shop.lululemon.com/p/tops-long-sleeve/Back-In-Action-Ls-MD/_/prod8970071,[],"['92% Pima cotton', '8% Lycra® elastane']"
108,https://shop.lululemon.com/p/women-tanks/All-Tied-Up-Tank-MD/_/prod8360068,[],"['92% Pima cotton', '8% Lycra® elastane']"
109,https://shop.lululemon.com/p/women-tanks/Muscle-Love-Crop-Tank-Tough-MD/_/prod10060073,"['23', '3', '1', '4', '2']","['88% Nylon', '12% Elastane']"
110,https://shop.lululemon.com/p/tops-short-sleeve/All-Yours-Short-Sleeve-Train-MD/_/prod10390311,"['10', '5', '7', '4', '1']","['88% Nylon', '12% Elastane']"
111,https://shop.lululemon.com/p/tops-long-sleeve/Back-in-Action-LS-Rulu-MD/_/prod9491527,"['39', '6', '2', '3', '5']","['87% Nylon', '13% Lycra® elastane']"
112,https://shop.lululemon.com/p/tops-long-sleeve/Up-for-Down-Time-LS-MD/_/prod10300113,"['33', '7', '2', '2', '5']","['86% Modal', '8% Silk', '6% Elastane']"
113,https://shop.lululemon.com/p/tops-long-sleeve/Ever-Ready-Long-Sleeve-MD/_/prod10390308,"['31', '4', '4', '1', '0']","['92% Pima cotton', '8% Lycra® elastane']"
114,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Breathe-LS-MD/_/prod10320002,"['40', '9', '2', '2', '1']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']"
115,https://shop.lululemon.com/p/women-tanks/Swiftly-Tech-Racerback-2-MD/_/prod9910044,"['232', '61', '43', '37', '50']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']"
116,https://shop.lululemon.com/p/tops-long-sleeve/Keep-The-Heat-Thermal-Long-Sleeve-MD/_/prod9201308,"['32', '4', '14', '7', '10']","['55% Wool', '42% Nylon', '3% Elastane']"
117,https://shop.lululemon.com/p/women-tanks/Time-to-Restore-Tank-MD/_/prod9491418,"['11', '1', '2', '0', '1']",[]
118,https://shop.lululemon.com/p/tops-long-sleeve/All-Aligned-Mock-Neck-LS-CV-MD/_/prod10260081,"['15', '6', '3', '4', '1']","['85% Nylon', '15% Xtra life lycra® elastane']"
119,https://shop.lululemon.com/p/tops-long-sleeve/Runderful-LS-MD/_/prod8260346,"['179', '42', '35', '22', '21']","['91% Nylon', '9% Elastane', '59% Nylon', '22% Polyester', '19% Lycra® elastane']"
120,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-SS-2-Shibori-MD/_/prod10410011,"['0', '0', '0', '1', '0']","['60% Nylon', '35% Polyester', '3% Elastane', '2% X-static® nylon']"
121,https://shop.lululemon.com/p/tops-long-sleeve/Run-Briskly-half-Zip-MD/_/prod9201306,"['36', '18', '15', '8', '6']","['56% Polyester', '33% Coolmax® polyester', '11% Lycra® elastane', '53% Nylon', '38% Polyester', '9% Lycra® elastane']"
122,https://shop.lululemon.com/p/womens-t-shirts/Love-Crew-IIi-MD/_/prod8720137,"['502', '87', '82', '95', '90']","['92% Pima cotton', '8% Lycra® elastane']"
123,https://shop.lululemon.com/p/tops-long-sleeve/Train-to-Be-LS-MD/_/prod9780178,"['48', '10', '7', '6', '5']","['68% Nylon', '32% Polyester']"
124,https://shop.lululemon.com/p/women-tanks/All-Yours-Crop-Tank-MD/_/prod9710405,[],"['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']"
125,https://shop.lululemon.com/p/women-tanks/Full-day-Ahead-Tank-MD/_/prod9850002,"['149', '35', '21', '13', '24']","['92% Lenzing® modal', '8% Elastane']"
126,https://shop.lululemon.com/p/womens-t-shirts/Love-Crew-Fade-MD/_/prod9280259,"['62', '10', '8', '10', '13']","['92% Pima cotton', '8% Lycra® elastane']"
127,https://shop.lululemon.com/p/women-tanks/All-Yours-Tank-MD/_/prod9780099,"['125', '29', '20', '16', '16']","['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']"
128,https://shop.lululemon.com/p/womens-t-shirts/Tee-Cloud-Wash-MD/_/prod10410008,"['51', '5', '1', '3', '1']","['100% Pima cotton', '98% Pima cotton', '2% Lycra® elastane']"
129,https://shop.lululemon.com/p/tops-long-sleeve/Emerald-Long-Sleeve-MD/_/prod9230268,"['189', '40', '23', '32', '36']","['92% Pima cotton', '8% Lycra® elastane']"
130,https://shop.lululemon.com/p/women-tanks/See-The-Horizon-Tank-MD/_/prod9491416,"['78', '29', '9', '12', '13']","['75% Polyester', '19% Lyocell', '6% Lycra® elastane']"
131,https://shop.lululemon.com/p/tops-short-sleeve/Love-Crew-Splatter-MD/_/prod10400429,"['7', '1', '0', '0', '0']","['92% Pima cotton', '8% Lycra® elastane']"
132,https://shop.lululemon.com/p/tops-long-sleeve/Rest-Less-Pullover-BD-MD/_/prod10310010,[],"['65% Nylon', '30% Polyester', '5% Elastane']"
133,https://shop.lululemon.com/p/women-tanks/Cut-Back-Crop-Tank-MD/_/prod8670155,[],"['92% Pima cotton', '8% Lycra® elastane']"
134,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-SS-Breeze-MD/_/prod10210219,"['181', '32', '32', '27', '15']","['66% Nylon', '31% Polyester', '3% X-static® nylon']"
135,https://shop.lululemon.com/p/women-tanks/Run-Swiftly-Racerback-MD/_/prod2820001,"['813', '255', '218', '221', '220']","['58% Nylon', '38% Polyester', '4% X-static® nylon']"
136,https://shop.lululemon.com/p/tops-short-sleeve/Tee-Burnout-MD/_/prod9370360,"['2', '0', '0', '1', '0']","['55% Viscose', '45% Polyester', '35% Polyester', '65% Viscose']"
137,https://shop.lululemon.com/p/women-tanks/Sculpt-Tank-Cropped-MD/_/prod10030005,"['47', '8', '4', '1', '1']","['89% Nylon', '11% Elastane', '73% Nylon', '27% Xtra life lycra® elastane']"
138,https://shop.lululemon.com/p/women-tanks/Love-Tank-Pleated-MD/_/prod8980109,"['594', '127', '88', '96', '86']","['92% Pima cotton', '8% Lycra® elastane']"
139,https://shop.lululemon.com/p/women-tanks/Sculpt-Tank-MD/_/prod7030032,"['478', '114', '61', '48', '55']","['73% Nylon', '27% Xtra life lycra® elastane', '89% Nylon', '11% Elastane']"
140,https://shop.lululemon.com/p/tops-long-sleeve/Close-to-Crossing-LS-Rulu-MD/_/prod9491451,"['42', '26', '19', '19', '8']","['91% Nylon', '9% Lycra® elastane']"
141,https://shop.lululemon.com/p/tops-long-sleeve/Its-Rulu-Long-Sleeve-MD/_/prod9201315,"['53', '8', '7', '5', '4']","['91% Nylon', '9% Lycra® elastane', '72% Nylon', '28% Xtra life lycra® elastane']"
142,https://shop.lululemon.com/p/women-tanks/All-Tied-Up-Tank-Wash-MD/_/prod9980094,"['48', '9', '7', '1', '2']","['92% Pima cotton', '8% Lycra® elastane']"
143,https://shop.lululemon.com/p/tops-short-sleeve/Cates-Tee-MD/_/prod9280263,"['227', '35', '17', '17', '7']","['92% Pima cotton', '8% Lycra® elastane']"
144,https://shop.lululemon.com/p/womens-t-shirts/All-Yours-Tee-Stripe-MD/_/prod10050019,"['347', '51', '33', '33', '30']","['53% Viscose', '47% Polyester', '35% Polyester', '65% Viscose']"
145,https://shop.lululemon.com/p/women-tanks/Cinch-it-Up-Tank-Top-MD/_/prod10390331,"['17', '3', '5', '0', '2']","['92% Pima cotton', '8% Lycra® elastane']"
146,https://shop.lululemon.com/p/womens-t-shirts/Back-In-Action-Ss-MD/_/prod8850034,[],[]
147,https://shop.lululemon.com/p/tops-long-sleeve/All-Days-Shirt-MD/_/prod10300067,"['6', '2', '3', '1', '0']","['59% Polyester', '22% Cotton', '19% Lyocell']"
148,https://shop.lululemon.com/p/women-tanks/To-The-Beat-Tank-MD/_/prod9201249,"['0', '1', '2', '0', '0']",[]
149,https://shop.lululemon.com/p/women-tanks/Ebb-To-Street-Tank-MD/_/prod6960008,"['446', '86', '65', '46', '33']","['85% Nylon', '15% Elastane', '95% Nylon', '5% Elastane', '100% Nylon']"
150,https://shop.lululemon.com/p/womens-t-shirts/Clear-Intention-Shirt-MD/_/prod9920074,"['2', '2', '2', '0', '4']",[]
151,https://shop.lululemon.com/p/tops-long-sleeve/Azal-LS-Print-MD/_/prod10260125,[],"['93% Recycled nylon', '7% Elastane']"
152,https://shop.lululemon.com/p/women-tanks/Swiftly-Tech-Tank-Shibori-MD/_/prod10400618,[],"['60% Nylon', '34% Polyester', '4% Elastane', '2% X-static® nylon']"
153,https://shop.lululemon.com/p/tops-long-sleeve/Ever-Ready-Long-Sleeve-Modal-MD/_/prod10410024,"['27', '1', '1', '2', '0']","['95% Modal', '5% Elastane']"
154,https://shop.lululemon.com/p/women-tanks/Esker-Cropped-Tank-MD/_/prod9491557,"['5', '2', '0', '2', '2']","['80% Tencel® lyocell', '15% Linen', '5% Elastane']"
155,https://shop.lululemon.com/p/womens-t-shirts/Cates-Tee-Veil-MD/_/prod10210207,"['14', '2', '1', '0', '1']","['55% Viscose', '45% Polyester', '35% Polyester', '65% Viscose']"
156,https://shop.lululemon.com/p/women-tanks/Adapt-to-You-Tank-MD/_/prod10140105,"['29', '8', '4', '1', '2']","['92% Pima cotton', '8% Lycra® elastane', '92% Lenzing® modal', '8% Elastane']"
157,https://shop.lululemon.com/p/men-ss-tops/Sarala-SS-Tee-MD/_/prod10210191,"['1', '1', '1', '1', '1']","['65% Recycled nylon', '30% Nylon', '5% Elastane', '80% Tencel® lyocell', '15% Linen', '5% Elastane']"
158,https://shop.lululemon.com/p/tops-long-sleeve/Full-Day-Ahead-Shirt-MD/_/prod9710365,"['103', '52', '36', '38', '58']","['61% Cotton', '32% Polyester', '7% Lycra® elastane']"
159,https://shop.lululemon.com/p/women-tanks/Sheer-Will-Tank-Pulse-MD/_/prod9790034,"['42', '15', '6', '3', '7']","['73% Nylon', '27% Xtra life lycra® elastane']"
160,https://shop.lululemon.com/p/women-tanks/Stronger-as-One-Muscle-Tank-MD/_/prod10070226,"['21', '2', '3', '2', '9']","['75% Polyester', '19% Lyocell', '3% Lycra® elastane', '3% X-static® nylon']"
161,https://shop.lululemon.com/p/women-tanks/Dynamic-Days-Tank-MD/_/prod10040063,"['3', '1', '5', '1', '1']","['78% Nylon', '22% Lycra® elastane', '100% Polyester']"
162,https://shop.lululemon.com/p/tops-long-sleeve/LAB-Kosaten-LS-MD/_/prod10000130,[],"['80% Tencel® lyocell', '15% Linen', '5% Elastane']"
